"date","EC"
"2017-01-26",0.033
"2017-02-23",0.04
"2017-03-17",0.038
"2017-03-24",0.023
"2017-04-06",0.019
"2017-04-14",0.013
"2017-05-02",0.018
"2017-05-05",0.024
"2017-05-17",0.008
"2017-05-31",0.009
"2017-06-16",0.003
"2017-06-26",0.001
"2017-07-04",0.003
"2017-07-31",0.004
"2017-08-14",0.004
"2017-08-22",0.002
"2017-08-30",0.004
"2017-09-08",0.007
"2017-09-18",0.005
"2017-09-28",0.052
"2017-10-06",0.01
"2017-10-16",0.006
"2017-10-24",0.001
"2017-11-01",0.006
"2017-11-09",0.009
"2017-11-17",0.004
"2017-11-27",0.001
"2017-12-05",0.008
"2017-12-13",0.016
"2017-12-21",0.002
"2017-12-29",0.009
"2018-01-23",0.016
"2018-02-12",0.006
"2018-02-20",9.999
"2018-03-05",0.006
"2018-03-13",0.008
"2018-03-21",0.018
"2018-03-29",0.018
"2018-04-06",0.017
"2018-04-16",0.019
"2018-04-24",0.016
"2018-05-02",0.007
"2018-05-14",0.004
"2018-05-22",0.006
"2018-05-29",0.011
"2018-06-01",0.004
"2018-06-11",0.004
"2018-06-19",0.004
"2018-07-04",0.004
"2018-07-12",0.004
"2018-07-20",0.002
"2018-07-30",0.011
"2018-08-07",0.008
"2018-08-15",0.006
"2018-08-23",0.004
"2018-08-31",0.002
"2018-09-10",0.002
"2018-09-18",0.002
"2018-09-26",0.004
"2018-10-04",0.004
"2018-10-12",0.004
"2018-10-22",0.004
"2018-10-30",0.004
"2018-11-07",0.004
"2018-11-15",0.002
"2018-11-23",0.013
"2018-12-03",0.007
"2019-01-16",0.0453
"2019-01-24",0.0148
"2019-02-01",0.0266
"2019-02-11",0.0244
"2019-03-01",0.0279
"2019-03-11",0.0391
"2019-03-21",0.0134
"2019-03-29",0.0202
"2019-04-08",0.0032
"2019-04-16",0.0061
"2019-04-24",0.01
"2019-05-02",0.0177
"2019-05-10",0.008
"2019-05-20",0.0049
"2019-05-28",0.0092
"2019-06-25",0.0092
"2019-07-03",0.0174
"2019-07-15",0.0025
"2019-07-23",0.0098
"2019-07-31",0.0092
"2019-08-08",0.0024
"2019-08-16",0.002
"2019-08-26",0.0224
"2019-09-05",0.006
"2019-09-13",0.0012
"2019-09-24",6e-04
"2019-10-02",9e-04
"2019-10-10",7e-04
"2019-10-18",0.0012
"2019-10-28",0.0069
"2019-11-13",0.0021
"2019-11-21",5e-04
"2019-11-29",0.0187
"2019-12-09",0.041
"2019-12-17",0.0121
"2019-12-26",0.0063
"2020-01-14",0.001
"2020-01-21",0.019
"2020-01-29",0.007
"2020-02-10",0.019
"2020-02-20",0.009
"2020-02-28",0.085
"2020-03-09",0.03
"2020-03-18",0.018
"2020-03-30",0.041
"2020-04-21",0.021
"2020-04-29",0.01
"2020-05-07",0.01
"2020-05-15",0.009
"2020-05-25",0.002
"2020-06-04",0.002
"2020-06-09",0.003
"2020-06-17",0.001
"2020-06-26",0.003
"2020-06-30",0.017
"2020-07-08",0.001
"2020-07-16",0.011
"2020-07-22",0.059
"2020-07-29",0.024
"2020-08-06",0.025
"2020-08-11",0.002
"2020-08-19",0
"2020-08-28",0.001
"2020-09-07",0.003
"2020-09-16",0.002
"2020-09-24",0.001
"2020-10-02",0.078
"2020-10-12",0.004
"2020-10-20",0.002
"2020-10-28",0.001
"2020-11-05",9.999
"2020-11-18",9.999
"2020-11-30",0.014
